Date,Close,High,Low,Open,Volume
2024-05-13,1214.7860107421875,1223.1134339224552,1204.3767317668528,1217.8393314728758,2316566
2024-05-14,1222.3270263671875,1227.7860247556966,1210.8998604116662,1223.2059870031921,3200462
2024-05-15,1233.2913818359375,1240.1383967418385,1219.7361649985069,1220.661434230442,2975965
2024-05-16,1247.40185546875,1256.3307269900424,1229.2202907539765,1244.4872345232204,5055915
2024-05-17,1233.56884765625,1250.0386845339326,1230.7930400666114,1250.0386845339326,2487831
2024-05-21,1241.6190185546875,1248.9748650350475,1215.8039799524145,1215.8039799524145,4966721
2024-05-22,1242.6829833984375,1251.7968634494564,1239.8608668432485,1248.141981931432,2390777
2024-05-23,1252.3983154296875,1256.9320446747904,1238.0103325294217,1246.0139346230249,3326149
2024-05-24,1244.672119140625,1258.3661488811401,1240.6472205922403,1258.3661488811401,1769966
2024-05-27,1252.1671142578125,1257.9962436627784,1238.010447371037,1250.0389494755389,1942325
2024-05-28,1256.8858642578125,1261.4197065059454,1245.0423718073323,1256.3769209537074,2147233
2024-05-29,1251.9818115234375,1264.4729465175442,1246.2913829920963,1263.917807551832,3845920
2024-05-30,1232.320068359375,1250.5479439080582,1226.0744997038166,1245.412653389872,4150461
2024-05-31,1225.149169921875,1240.6937407669247,1217.423193147763,1232.3200076546473,10319045
2024-06-03,1216.2200927734375,1253.5084878780353,1211.9638769099909,1249.6224022957372,5384064
2024-06-04,1206.1346435546875,1225.9816216083595,1142.7073982538295,1225.9816216083595,5447244
2024-06-05,1243.2845458984375,1255.4981707128363,1217.7471310289618,1221.3557045638508,3005139
2024-06-06,1293.0638427734375,1295.1920073360577,1249.9463161156195,1252.814628347216,5936709
2024-06-07,1324.5230712890625,1331.1387697149835,1293.5265481397898,1301.8539722694452,5884025
2024-06-10,1312.7259521484375,1334.2384655492842,1293.0639775347604,1332.3879267621146,3293739
2024-06-11,1322.0247802734375,1330.4909037491755,1309.6261494459893,1318.50871186264,2269082
2024-06-12,1331.231201171875,1361.9964052997393,1327.298806659291,1361.9964052997393,5990861
2024-06-13,1336.227783203125,1348.7651153971972,1329.704588965808,1339.5587303453615,4232861
2024-06-14,1324.106689453125,1337.939420439639,1317.9536259604138,1336.2276948080507,3065114
2024-06-18,1329.797119140625,1332.1566012589924,1320.4057252115674,1324.1068027632507,2223029
2024-06-19,1337.800537109375,1343.3984613120736,1323.4126678837436,1332.4340431696064,3117522
2024-06-20,1335.580078125,1340.669059855003,1322.7189237475143,1340.669059855003,3163919
2024-06-21,1339.651123046875,1371.2027833430911,1331.6475210742383,1352.7437061301246,6489262
2024-06-24,1333.17431640625,1336.0426287931643,1319.989228207832,1330.3985083644777,1988692
2024-06-25,1339.74365234375,1341.7330039499939,1319.8503621771401,1333.2667671732258,2079037
2024-06-26,1335.8111572265625,1344.6938322929943,1330.7221764042092,1339.743551498381,1917424
2024-06-27,1346.1744384765625,1351.4022330434384,1317.1209574645084,1327.7615552943937,6613193
2024-06-28,1350.52294921875,1358.9428766452393,1334.238233315712,1358.2952333616263,4943575
2024-07-01,1359.0816650390625,1368.1030398931177,1346.2667089898052,1355.5194011478109,3723295
2024-07-02,1370.138671875,1380.9179676599854,1362.921526960408,1364.7720653541087,3811366
2024-07-03,1370.3238525390625,1377.7260070429872,1361.256168092589,1377.7260070429872,2070876
2024-07-04,1408.583740234375,1419.8720938154886,1374.0249533902045,1374.0249533902045,6822557
2024-07-05,1405.854248046875,1414.9681283931573,1393.039290366231,1409.1851950582172,3061687
2024-07-08,1418.807861328125,1424.9146156628133,1393.6404704775457,1413.8113848914147,2939620
2024-07-09,1416.679931640625,1430.7440940500287,1411.0358109862646,1418.8080964035767,2658608
2024-07-10,1397.1102294921875,1418.0676001537613,1376.6618020865785,1416.6796963079341,3507096
2024-07-11,1398.914306640625,1419.3627301635745,1395.3520433689696,1401.7826181211312,3304053
2024-07-12,1443.6051025390625,1448.9717096056554,1397.6192639587118,1415.6620151319623,6430647
2024-07-15,1452.3026123046875,1514.110644239035,1450.267065105686,1461.9254352274115,10337489
2024-07-16,1452.2564697265625,1464.701296587258,1438.7937562812292,1448.046449247668,3540650
2024-07-18,1475.3883056640625,1479.7370264842543,1440.6443959580952,1441.6159739669074,4399468
2024-07-19,1475.3883056640625,1495.6516143240196,1469.8828851939934,1490.1463068018704,5633838
2024-07-22,1459.2421875,1475.341895877141,1453.5055630307245,1469.8827844285588,2704495
2024-07-23,1490.2432861328125,1492.5276451627333,1446.1891075453211,1467.540256015057,2907674
2024-07-24,1476.5841064453125,1489.9169507163356,1470.197438899955,1486.1874965218014,2484299
2024-07-25,1480.2203369140625,1486.1874863472472,1457.1443392433634,1463.810761333236,2934731
2024-07-26,1524.7408447265625,1529.0763583835437,1486.1876312581517,1494.3924767555338,2814159
2024-07-29,1521.943359375,1533.7377790404294,1510.428694252581,1529.2623892356064,1639491
2024-07-30,1519.985595703125,1522.549595327835,1508.5641428294164,1518.8201413282568,1783877
2024-07-31,1531.5001220703125,1533.7378170281474,1509.682795405735,1511.3610950775847,1984986
2024-08-01,1529.589111328125,1543.5279012746564,1525.4400251233337,1529.1229295397607,1785188
2024-08-02,1500.4527587890625,1528.1439116627548,1492.8539728291769,1510.4756673005784,1692851
2024-08-05,1456.7249755859375,1487.7726165455438,1433.0429163397253,1468.4727347007595,3279717
2024-08-06,1475.698486328125,1496.443576406028,1457.2843052477392,1457.2843052477392,2138704
2024-08-07,1486.746826171875,1505.7670644860589,1482.4579768005162,1496.4434294118419,1897787
2024-08-08,1452.4825439453125,1493.6464177336507,1449.4058124967544,1488.984599950462,2373805
2024-08-09,1482.4112548828125,1493.6462802315878,1469.2649527072247,1477.702887643581,2021762
2024-08-12,1478.029296875,1492.247840812766,1467.4003297915276,1482.4580236752877,1273739
2024-08-13,1484.9288330078125,1499.6135589434286,1470.943379735797,1471.2696842160287,1973825
2024-08-14,1516.1630859375,1519.5195721237246,1490.1501188199065,1491.8749687114746,3932148
2024-08-16,1555.41552734375,1560.7766178770792,1522.2699568686448,1524.4144386075416,3101056
2024-08-19,1564.97216796875,1571.0325308473898,1546.8377430343826,1552.385260451575,1631947
2024-08-20,1572.6641845703125,1580.4028473965625,1556.3011590896826,1566.3707307414406,2786109
2024-08-21,1563.8067626953125,1574.6221571018648,1560.5434902735308,1571.9649437497671,1410370
2024-08-22,1562.7811279296875,1572.8972493014176,1559.8441600955966,1572.8972493014176,1749127
2024-08-23,1549.0753173828125,1571.9182235137555,1545.0662225542965,1562.6879157609478,2158185
2024-08-26,1603.1524658203125,1616.7184010432115,1554.3432565792812,1557.979497199081,2672708
2024-08-27,1595.83349609375,1638.0229484939941,1589.773132765538,1609.1196772363683,3556487
2024-08-28,1603.1524658203125,1620.2147643672668,1578.5381590700906,1596.7192483551787,2516461
2024-08-29,1633.361083984375,1637.2304155310148,1582.4540562414663,1598.0711459112524,5112407
2024-08-30,1634.6663818359375,1646.833771598181,1624.3637191597752,1633.361050112899,4792561
2024-09-02,1684.4547119140625,1689.4428343852535,1640.9599274382153,1644.8758090122176,4445349
2024-09-03,1669.3504638671875,1694.2446417932226,1666.180518485063,1683.8487642566497,2553290
2024-09-04,1664.5020751953125,1674.198679155144,1645.6217127683667,1645.714926363248,2644961
2024-09-05,1669.4437255859375,1676.1100344188783,1647.7662714174396,1670.7956073095881,2878565
2024-09-06,1637.3236083984375,1674.2918459414382,1622.359241700087,1667.0660284244977,3351716
