Date,Close,High,Low,Open,Volume
2024-05-13,270.6329345703125,278.6819063430285,263.899424834782,278.6819063430285,22898652
2024-05-14,270.2093200683594,275.44895938982614,268.5148038589013,273.08555305422334,12813314
2024-05-15,278.72650146484375,280.04199078218255,270.6998202003863,271.5693827808108,18835012
2024-05-16,275.9172058105469,282.4277261637979,272.4835640281288,281.82573587436866,26886936
2024-05-17,280.17578125,280.7108988119079,275.7388044909449,276.34082195454494,10203386
2024-05-21,287.17681884765625,289.4064525343617,278.7042108381757,280.9338445248811,21247760
2024-05-22,285.6160888671875,290.1645472480928,281.40207555521334,289.8078112846748,14673810
2024-05-23,288.7153015136719,291.68069829457716,285.66068671538477,287.6227754503022,14982550
2024-05-24,291.6806945800781,295.80551727625516,286.1066098555146,288.5146253434103,16208524
2024-05-27,292.55023193359375,295.09201979156035,288.2916370158576,292.8846769881365,12493582
2024-05-28,288.2916259765625,293.86571000549833,286.55250087265165,293.39749239050917,8950082
2024-05-29,282.5168762207031,286.70859839737074,282.0040768081287,285.39310909170956,10753416
2024-05-30,279.0386657714844,283.9661509501359,278.03533057694045,282.7398523790267,9645688
2024-05-31,279.95281982421875,282.8959528266801,275.4043613420222,280.93386415837256,18484104
2024-06-03,297.0541076660156,306.3516692745837,290.61046085282476,296.54128102998277,33828234
2024-06-04,258.7267150878906,298.77093323298965,252.7067037466289,298.77093323298965,45748526
2024-06-05,259.1280212402344,268.4701920133321,238.2140731810193,268.4701920133321,47388174
2024-06-06,260.48809814453125,270.8781850285799,258.7489730912448,263.5649761086143,37934232
2024-06-07,267.4668273925781,268.4478715693291,259.17260171602265,260.8671177210258,21620630
2024-06-10,268.7154541015625,271.94842310449354,267.6675371047376,269.9194617943718,14828594
2024-06-11,270.7667236328125,273.21932071786114,264.70210360127624,270.3653786774666,27027544
2024-06-12,273.5091247558594,278.19135500652993,273.1078070646965,277.1434381706429,23479388
2024-06-13,276.1847229003906,277.1434763038523,273.57606228867803,276.02865942411034,12050324
2024-06-14,279.44000244140625,280.6216919718002,275.6942069394141,277.5002047925428,14628644
2024-06-18,281.335205078125,283.16349391573647,279.3285346488009,283.16349391573647,15884950
2024-06-19,274.6016845703125,282.80674757842536,274.24494861717903,282.80674757842536,19648006
2024-06-20,279.2616271972656,280.3987349663636,273.2639069661141,276.47458500966815,18076646
2024-06-21,274.3341369628906,284.5012612311581,272.1045032541825,283.6094077476748,30004484
2024-06-24,272.23828125,276.2070402173504,270.4991560357209,276.2070402173504,7557297
2024-06-25,264.2561340332031,273.30846721749236,262.9183540217953,272.23823232148453,15630568
2024-06-26,266.1290588378906,268.3141106345899,264.2115794012889,265.7723229083007,7973173
2024-06-27,271.8815612792969,273.7990409762421,264.0332336766874,266.4858309492759,12487595
2024-06-28,271.078857421875,273.4422635373011,268.93838744385266,272.7733734734707,9077880
2024-07-01,271.61395263671875,273.665231866745,270.49913584340237,272.6396058603353,4793023
2024-07-02,271.4801940917969,274.913835436062,269.51813276450844,271.1234581429452,5553786
2024-07-03,273.4422912597656,274.200372185738,270.2316131844296,272.46124695657835,4355165
