Date,Close,High,Low,Open,Volume,CPI,GDP,WPI,REPO_RATE
2024-05-13,221.4496154785156,225.34160793826888,217.7546830734236,225.04601033891785,32874369,313.175,29147.044,255.313,6.5
2024-05-14,227.55856323242188,228.49460975103528,222.4349267310533,222.4349267310533,23191411,313.175,29147.044,255.313,6.5
2024-05-15,229.43067932128903,231.05644359280944,226.17913574352968,228.39609522363125,33045920,313.175,29147.044,255.313,6.5
2024-05-16,234.40652465820312,236.475692985716,224.15925064271,231.30278720165344,55556781,313.175,29147.044,255.313,6.5
2024-05-17,244.5552673339844,245.98397158729173,234.357262462678,237.4609998072671,82231249,313.175,29147.044,255.313,6.5
2024-05-21,270.12420654296875,278.84425370633016,267.06972283830487,278.84425370633016,127035921,313.175,29147.044,255.313,6.5
2024-05-22,279.4354553222656,280.3222331743069,260.41884993345184,272.9323676248964,85801218,313.175,29147.044,255.313,6.5
2024-05-23,284.26348876953125,288.9929905930337,279.0413292531873,282.09578289325304,70631009,313.175,29147.044,255.313,6.5
2024-05-24,292.835693359375,295.496026393069,281.8001509449461,283.7707813711346,63609206,313.175,29147.044,255.313,6.5
2024-05-27,290.1260986328125,298.74760740440047,285.3965672078796,297.3188882087628,49890427,313.175,29147.044,255.313,6.5
2024-05-28,284.8546447753906,291.4069851736932,280.8640999714186,291.3577314389695,33893805,313.175,29147.044,255.313,6.5
2024-05-29,287.85986328125,289.63344889002246,280.81486479244967,281.2089849045867,31645904,313.175,29147.044,255.313,6.5
2024-05-30,286.3819274902344,291.9489537292218,285.3966120472475,288.6974247951416,42769599,313.175,29147.044,255.313,6.5
2024-05-31,291.6040954589844,292.8357396701316,282.0957780933771,289.8797935633783,51397345,313.175,29147.044,255.313,6.5
2024-06-03,313.9707336425781,318.2568614750932,304.758029007043,318.2568614750932,67256146,313.044,29147.044,255.914,6.5
2024-06-04,251.79733276367188,307.41837951124705,226.6717921305411,307.41837951124705,268052657,313.044,29147.044,255.914,6.5
2024-06-05,256.5268249511719,260.615877122765,226.62250184588265,260.615877122765,193487058,313.044,29147.044,255.914,6.5
2024-06-06,269.63153076171875,277.3662620220469,263.07918991078697,263.07918991078697,95502477,313.044,29147.044,255.914,6.5
2024-06-07,279.04132080078125,280.37147247561035,264.7542481411464,269.97640749930656,60109827,313.044,29147.044,255.914,6.5
2024-06-10,279.23834228515625,287.7120596447448,276.9721291855918,284.6575762853141,42363741,313.044,29147.044,255.914,6.5
2024-06-11,281.99725341796875,286.2340972182088,281.1597293915668,282.78549363726654,32269277,313.044,29147.044,255.914,6.5
2024-06-12,286.2341003417969,288.69738864077965,281.84943514183266,283.67227449696736,33990756,313.044,29147.044,255.914,6.5
2024-06-13,296.4813842773437,298.55055253653416,282.8347605980073,289.5841767930014,49511492,313.044,29147.044,255.914,6.5
2024-06-14,305.0536193847656,305.9403971306774,297.0725595326868,300.5211630430165,67366844,313.044,29147.044,255.914,6.5
2024-06-18,313.5765991210937,316.2862162384009,307.6647072287872,308.4036937153255,64859245,313.044,29147.044,255.914,6.5
2024-06-19,304.7580261230469,315.2023748604997,299.6344043380552,315.2023748604997,58698689,313.044,29147.044,255.914,6.5
2024-06-20,307.31982421875,308.7485433764932,297.81153795387803,305.250656154563,39505506,313.044,29147.044,255.914,6.5
2024-06-21,300.471923828125,309.38901559373625,299.63439977839454,308.10811768433985,37620968,313.044,29147.044,255.914,6.5
2024-06-24,305.2013854980469,307.31980718011107,293.08202047456626,300.32406319354914,39139609,313.044,29147.044,255.914,6.5
2024-06-25,305.15216064453125,310.32506597303615,304.65950299419745,306.33452096367034,29124110,313.044,29147.044,255.914,6.5
2024-06-26,302.343994140625,306.9257040947657,301.3586788786835,305.4477312018535,24238007,313.044,29147.044,255.914,6.5
2024-06-27,300.02850341796875,303.6248981839685,296.7769750146125,301.6050138833133,39996580,313.044,29147.044,255.914,6.5
2024-06-28,301.407958984375,305.25068282826186,298.3042216515986,301.5064965330773,24256902,313.044,29147.044,255.914,6.5
2024-07-01,303.1322326660156,307.9110176742064,301.35867723198635,306.3837910543165,39495237,313.569,29511.664,257.321,6.5
2024-07-02,301.6050109863281,304.4624192632612,298.5505276270813,304.4624192632612,23974162,313.569,29511.664,257.321,6.5
2024-07-03,309.88165283203125,310.81771436756526,301.26014420792865,302.49178829708615,44919849,313.569,29511.664,257.321,6.5
2024-07-04,312.6898193359375,313.8229259274396,308.45294546542766,312.73907307361446,35591681,313.569,29511.664,257.321,6.5
2024-07-05,319.2914123535156,322.00102944053475,309.8816632245512,312.9854004194312,63125211,313.569,29511.664,257.321,6.5
2024-07-08,329.6864929199219,330.8688531935243,320.818655555444,323.6268100680824,70983243,313.569,29511.664,257.321,6.5
2024-07-09,329.883544921875,334.3667475039217,323.8731457474572,333.036565857173,52225572,313.569,29511.664,257.321,6.5
2024-07-10,328.9475402832031,335.4998814398739,319.38996922468823,335.007223757877,46779965,313.569,29511.664,257.321,6.5
2024-07-11,330.57330322265625,333.23366672197017,328.11001482308353,330.57330322265625,31919433,313.569,29511.664,257.321,6.5
2024-07-12,328.20855712890625,332.5439387610889,323.2819802583716,331.952743522737,24517961,313.569,29511.664,257.321,6.5
2024-07-15,326.53350830078125,331.1152187671687,326.1393881658281,331.06596502633914,22021426,313.569,29511.664,257.321,6.5
2024-07-16,321.360595703125,329.48944734858065,319.7348313879216,328.3563407088593,26585927,313.569,29511.664,257.321,6.5
2024-07-18,308.94561767578125,321.9025386555921,307.71397348146,321.7054635567253,48043715,313.569,29511.664,257.321,6.5
2024-07-19,301.8020935058594,312.2464427083093,300.52119551994366,305.3492349422778,43313606,313.569,29511.664,257.321,6.5
2024-07-22,307.7139587402344,310.0787395355957,292.9342291164107,301.5064843260032,39386992,313.569,29511.664,257.321,6.5
2024-07-23,297.0233154296875,312.3449566376059,276.9721426411146,312.3449566376059,76513131,313.569,29511.664,257.321,6.5
2024-07-24,295.693115234375,301.9991268779725,294.9048449855282,298.05786584204463,24099148,313.569,29511.664,257.321,6.5
2024-07-25,297.0233154296875,298.9446622632407,289.09150905700704,293.5747118075057,27820556,313.569,29511.664,257.321,6.5
2024-07-26,305.34918212890625,305.9403772776291,297.56519786745247,299.3387532441867,24512844,313.569,29511.664,257.321,6.5
2024-07-29,316.6310729980469,320.8186629612729,306.28526250066494,308.2066092656599,51391698,313.569,29511.664,257.321,6.5
2024-07-30,313.4288024902344,321.7546987215216,312.93614484094746,320.4245471239961,41111245,313.569,29511.664,257.321,6.5
2024-07-31,311.40887451171875,315.89207696646235,310.8177094138935,315.20234425975246,25709971,313.569,29511.664,257.321,6.5
2024-08-01,306.58087158203125,313.0347053018345,303.5263879189475,313.0347053018345,28141436,314.062,29511.664,255.463,6.5
2024-08-02,298.5013122558594,304.166875802027,297.26966800669254,300.8167793887414,26155604,314.062,29511.664,255.463,6.5
2024-08-05,285.98779296875,293.08207582985915,280.81488715277777,285.5936728252305,50390560,314.062,29511.664,255.463,6.5
2024-08-06,283.0318298339844,298.156426232386,282.14505204682547,287.7120776728405,39171936,314.062,29511.664,255.463,6.5
2024-08-07,295.7916564941406,296.5798966834652,285.5443536163062,291.1606626909102,22199473,314.062,29511.664,255.463,6.5
2024-08-08,293.87030029296875,298.25496558580244,292.7864474045723,296.57991747924086,21963656,314.062,29511.664,255.463,6.5
2024-08-09,297.7622985839844,300.5211694230441,296.2350418124674,298.0578811490847,15551076,314.062,29511.664,255.463,6.5
2024-08-12,296.9740295410156,299.19098899688333,293.8702923166882,294.60927880197744,15361379,314.062,29511.664,255.463,6.5
2024-08-13,291.8011169433594,298.2056663244909,291.0621304763057,297.565217400265,14746085,314.062,29511.664,255.463,6.5
2024-08-14,290.17095947265625,293.4806822836184,287.15758969806905,292.59150257095865,16641055,314.062,29511.664,255.463,6.5
2024-08-16,299.65557861328125,300.24837512945913,292.443306427286,292.9372984989537,21353408,314.062,29511.664,255.463,6.5
2024-08-19,298.5194091796875,301.8785493077551,297.4820378676421,301.13756118461293,12232725,314.062,29511.664,255.463,6.5
2024-08-20,299.5074157714844,300.841200523193,294.2216940670901,298.51943153331297,14183642,314.062,29511.664,255.463,6.5
2024-08-21,301.7303466796875,303.06413128274653,298.91458588453673,299.3591908025174,11862616,314.062,29511.664,255.463,6.5
2024-08-22,300.8411865234375,303.212342554529,299.8532023312423,302.7183504584314,13074829,314.062,29511.664,255.463,6.5
2024-08-23,302.3231506347656,305.4847119828029,300.44598677538005,301.82915855856504,21891698,314.062,29511.664,255.463,6.5
2024-08-26,303.0148010253906,305.18834842466214,302.125591022487,304.9907696524857,15280637,314.062,29511.664,255.463,6.5
2024-08-27,297.2844543457031,303.7557692639586,296.00008688299806,302.91597662255,16873099,314.062,29511.664,255.463,6.5
2024-08-28,296.3458557128906,300.84117150257583,295.9012507882478,297.4326141493362,14005947,314.062,29511.664,255.463,6.5
2024-08-29,292.64093017578125,297.4326293935603,288.5901889522442,295.753074355137,19185385,314.062,29511.664,255.463,6.5
2024-08-30,295.7036437988281,298.5194046542593,290.8131403507583,293.2336834257979,28684991,314.062,29511.664,255.463,6.5
2024-09-02,293.33251953125,298.3218581138171,291.5047426277529,298.3218581138171,11713172,314.732,29511.664,252.682,6.5
2024-09-03,293.5794982910156,297.72904398135114,293.1843106421467,296.39525928439434,13971488,314.732,29511.664,252.682,6.5
2024-09-04,295.35791015625,298.2724456679351,291.7517434429662,293.5795203762291,17937646,314.732,29511.664,252.682,6.5
2024-09-05,287.1082458496094,295.9013001580172,286.515449234808,295.40730800416407,26342723,314.732,29511.664,252.682,6.5
2024-09-06,280.1923217773437,286.86121504706654,278.660928195247,286.86121504706654,30062372,314.732,29511.664,252.682,6.5
2024-09-09,278.1669311523437,281.08149651576065,272.43663502362386,278.61153608943584,29170063,314.732,29511.664,252.682,6.5
2024-09-10,282.3164978027344,284.8852628680372,278.9079400996172,279.1055490088275,19982334,314.732,29511.664,252.682,6.5
2024-09-11,284.5888366699219,286.9600228699656,280.9333132214769,283.0080860710727,21650737,314.732,29511.664,252.682,6.5
2024-09-12,288.19500732421875,288.98538263517446,285.52743788569376,287.4046018623776,16102095,314.732,29511.664,252.682,6.5
2024-09-13,286.4660339355469,290.46735792828645,286.12023343164566,289.47937371764607,12330463,314.732,29511.664,252.682,6.5
2024-09-16,286.9106140136719,288.6890037160455,284.9346455560696,287.40460612807243,9184637,314.732,29511.664,252.682,6.5
2024-09-17,280.8839111328125,287.3552260819982,280.488723461698,287.0094255631905,15946216,314.732,29511.664,252.682,6.5
2024-09-18,279.4513244628906,282.5634685230906,277.0307512211331,281.47667992167123,10450571,314.732,29511.664,252.682,6.5
2024-09-19,269.4232788085937,281.42727971274485,263.8905617634186,280.5874871892204,44560220,314.732,29511.664,252.682,6.5
2024-09-20,274.0174255371094,276.0427810988545,269.5714966105502,270.7076724171605,38501362,314.732,29511.664,252.682,6.5
2024-09-23,282.8598937988281,283.2551116406133,275.301819913453,276.6356047522576,19445968,314.732,29511.664,252.682,6.5
2024-09-24,288.2937927246094,289.8745735582683,281.1309068963332,282.85987933764125,25346532,314.732,29511.664,252.682,6.5
2024-09-25,286.3672180175781,291.4553304684609,284.19364078084953,290.46734629738137,19263084,314.732,29511.664,252.682,6.5
2024-09-26,287.0093994140625,288.3925712123872,285.57681031704664,287.1082038605608,18343882,314.732,29511.664,252.682,6.5
2024-09-27,289.9239807128906,291.3071525873431,285.72504778812225,288.8371920433617,208588855,314.732,29511.664,252.682,6.5
2024-09-30,281.6742858886719,291.060135270137,280.1923096705458,289.9239595330837,32695169,314.732,29511.664,252.682,6.5
2024-10-01,280.5381164550781,283.15626846908526,279.15491449970773,281.6742922176604,13883476,315.631,29825.182,253.081,6.5
2024-10-03,275.3511962890625,282.85985175263323,271.74502999959066,271.74502999959066,27321529,315.631,29825.182,253.081,6.5
2024-10-04,273.8692321777344,278.5127398251244,270.263065728641,275.3512084770708,17451235,315.631,29825.182,253.081,6.5
